projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
【ULANI 永恆曆 ∞】世界第一款「彩色電子紙」桌曆，把時間變成喜歡的樣子！,ULANI,4480182,2380,https://www.zeczec.com/projects/ulani,"日/月/年曆一鍵變換，不「紙」擺脫用完即撕的浪費，還能藍牙連線同步數位行事曆！不必再每年買用完即丟的日曆，這台陪你年復一年到永恆～ ,zeczec",37 天,2022/09/13 12:00 – 2022/10/26 02:00,2022/09/13 12:00:00,2022/10/26 02:00:00
GUARDAMPER 尬 顛 簸【 銀刃 】搖式挾持 4D 頂規抗震手機架｜精緻工藝 × 便利快取 × 絕對抗震,尢口設計,2870433,1499,https://www.zeczec.com/projects/guardamper,"GUARDAMPER 尬顛簸 【 銀刃 】專利抗震 × 單手快取 × 精巧鋼骨｜台灣設計、製造，最值得你擁有的車用精品。,zeczec",43 天,2022/09/13 12:00 – 2022/10/31 23:59,2022/09/13 12:00:00,2022/10/31 23:59:00
未來美✨逆時微電雙波機｜年輕緊緻 + 緊實淡紋，只要 10 分鐘 Hold 住緊緻好狀態！,未來美,5768401,8800,https://www.zeczec.com/projects/beauty-device,"居家頂級美容儀「雙波合一」！在家就可以擁有年輕緊緻護理，防止肌膚老化，鍛鍊臉部線條！,zeczec",37 天,2022/09/13 12:00 – 2022/10/26 02:00,2022/09/13 12:00:00,2022/10/26 02:00:00
KAVi 翻轉咖啡杯｜不受場域限制，你的隨行手作咖啡Bar,VIIDA,248746,1110,https://www.zeczec.com/projects/viida-kavi,"小孩才作選擇，今天想喝什麼我說了算！忙裡偷閒的愉悅嘗過就回不去了，隱身於隨身杯裡的隨身咖啡Bar，讓你再忙都不錯過手沖冷萃好滋味！,zeczec",56 天,2022/09/13 10:30 – 2022/11/13 23:59,2022/09/13 10:30:00,2022/11/13 23:59:00
2023 真屌曆｜一天一根可愛ㄐㄐ，陪伴你度過最屌的一年！,Lanpar,377725,888,https://www.zeczec.com/projects/good-chicken-calendar-2023,"療癒系插畫家 Lanpar 重磅出擊，為大家帶來充滿ㄐㄐ的 2023,zeczec",43 天,2022/09/12 20:00 – 2022/10/31 23:59,2022/09/12 20:00:00,2022/10/31 23:59:00
一起把台灣選手送往世界甜點大賽：世界盃西點藝術大賽，用甜點讓台灣看見台灣！,世界盃西點藝術大賽，用甜點讓台灣看見台灣！,271500,300,https://www.zeczec.com/projects/team-of-taiwan-mdas-2022,"今年10月2位台灣甜點師王家承、楊詠帆，累積多年甜點製作經驗，用心鑽研每道甜點的結構，持續藉由原料與技術的搭配，創作出更多甜點的可能性。,zeczec",29 天,2022/09/12 20:00 – 2022/10/18 02:00,2022/09/12 20:00:00,2022/10/18 02:00:00
【磁流蝸蝸機】自療系美容儀、按摩儀、刮痧板MIX！4in1全身按摩X臉部拉提X加快保養X活絡循環,貝思得國際股份有限公司,38510,1980,https://www.zeczec.com/projects/snails,"不同於市面上功能單一的刮痧板，我們結合了「美容儀＋按摩儀＋刮痧板」的特色，以貼身設計加入熱能、微磁流及高速震動，你可以運用滾輪加強臉部拉提，滾出小V臉，加強身體按摩，一鍵切換，全身都可使用！！,zeczec",40 天,2022/09/12 20:00 – 2022/10/28 23:59,2022/09/12 20:00:00,2022/10/28 23:59:00
大潮之外｜台灣餐飲後浪波動計畫,大潮之外製作委員會,71680,899,https://www.zeczec.com/projects/kuroshioacademy,"我們即將開始啟程，𝟭𝟬.𝟬𝟮 ㊐ - 𝟬𝟯 ㊀ 為期兩日、𝟭𝟬 大講題、超過 𝟯𝟬 位知名講師，期望吸引超過三百位餐飲工作人加入，這場引領餐飲大潮的〈台灣餐飲圈最新跨領域對話論壇〉。,zeczec",13 天,2022/09/12 12:00 – 2022/10/01 23:59,2022/09/12 12:00:00,2022/10/01 23:59:00
翁鈺鈞 【鈺見 生日音樂會】,怡佳娛樂經紀股份有限公司,352973,299,https://www.zeczec.com/projects/WengYuJun,"因為遇見你 才有今天的一切,zeczec",4 天,2022/09/09 20:00 – 2022/09/22 23:59,2022/09/09 20:00:00,2022/09/22 23:59:00
"《2022 都不落空：夢想起飛音樂會》原創華語 聖誕音樂劇 Chinese Christmas Musical ""Never Fails"" World Premiere Concert 2022",Melody Hwang X 財團法人卓越藝術傳播基金會,230000,500,https://www.zeczec.com/projects/never-fails-2022,"2022.12.10 首發音樂會/線上音樂會，邀您一起夢想起飛 Join us to make this musical concert a reality!,zeczec",22 天,2022/09/09 20:00 – 2022/10/10 23:59,2022/09/09 20:00:00,2022/10/10 23:59:00
翻轉生命的力量 -【阿恩開火車】繪本印製計畫，讓我們一起點亮重症病童的希望之光 !,喜願協會,59600,100,https://www.zeczec.com/projects/makeawish,"喜願協會希望透過印製「喜願熊圓夢系列 - 阿恩開火車」的繪本，帶您一起探索重症病童的願望旅程，及願望成真後的人生轉變；同時會將繪本捐贈給20家醫院，作為鼓勵孩子們的正面力量。,zeczec",50 天,2022/09/09 15:00 – 2022/11/08 14:59,2022/09/09 15:00:00,2022/11/08 14:59:00
【 HTVRONT ｜熱轉印/熱昇華 平燙機】全自動化智慧方案，轉印昇華從此一鍵搞定！,HTVRONT Taiwan,796981,8980,https://www.zeczec.com/projects/htvront,"操作直覺、智慧體驗、受熱均勻、安全可靠是我們堅持的平燙機創新首選；而多材料可用、精度出色、轉印面積廣、加熱速度快更是我們的品質追求。自動壓制系統，改進了傳統的手動壓力機。,zeczec",24 天,2022/09/08 12:00 – 2022/10/13 02:00,2022/09/08 12:00:00,2022/10/13 02:00:00
《2023 社畜毋湯日曆》 珍惜生命 愛護社畜 | 365天職場OS語錄 ，每日職場宜忌招好運 x 可愛動物陪伴辦公日常,Gdesign,39737,780,https://www.zeczec.com/projects/MeowWWWu2023,"工作厭世焦慮的心情沒地方發洩嗎?! 以毒攻毒才是最好的心理治癒，接受不足的自己，勇敢的準時下班，坦然的周休二日吧！！,zeczec",43 天,2022/09/08 12:00 – 2022/10/31 23:59,2022/09/08 12:00:00,2022/10/31 23:59:00
達伶姐姐變身里長 集資計畫｜改變 要你＋1,達伶姐姐選里長 Team,52423,666,https://www.zeczec.com/projects/puffdarling,"從兒童節目主持人變身里長！？ 所有美好 從小地方、小事情開始,zeczec",68 天,2022/09/08 11:00 – 2022/11/25 23:59,2022/09/08 11:00:00,2022/11/25 23:59:00
黃星個人演唱會【真星愛你】,尬音樂,65991,800,https://www.zeczec.com/projects/StarHuang,"夜晚，當你仰望星空，有一顆努力閃著光芒的星星，正對著你歌唱，當你接收到歌聲的那一刻，溫暖而感動。這一次，我們要一起進入銀河，一起沉浸在黃星的歌聲中，一起被音樂催眠，一起幸福!,zeczec",42 天,2022/09/07 20:00 – 2022/10/30 23:59,2022/09/07 20:00:00,2022/10/30 23:59:00
《在長大以前》季刊｜彰化高中擎崗校刊社,彰化高中擎崗校刊社,8549,149,https://www.zeczec.com/projects/before_growing_up,"《在長大以前》全由高中生獨立製作，為全國各校刊社首度挑戰以季刊、紀錄片、podcast 三種形式發行的專題計畫。,zeczec",12 天,2022/09/07 20:00 – 2022/09/30 23:59,2022/09/07 20:00:00,2022/09/30 23:59:00
毛孩優鮮-毛孩鑽石計畫｜全球首創寵物環保零食開啟善循環,全球社會創新股份有限公司,35663,499,https://www.zeczec.com/projects/mao2mao,"與家樂褔共同保鮮接力減少食物浪費的問題，我們藉由冷凍乾燥技術製成毛孩最愛的寵物環保零食， 創造出消費者、超市、庇護工場、流浪動物及地球多贏的成果。,zeczec",32 天,2022/09/07 12:00 – 2022/10/20 23:59,2022/09/07 12:00:00,2022/10/20 23:59:00
酷Bi 錶帶扣,艾爾森行動科技,658,329,https://www.zeczec.com/projects/elsonmobile,"酷Bi 錶帶扣-不限廠牌扣上非金屬錶帶即可使用，隨手支付便利快速,zeczec",43 天,2022/09/07 12:00 – 2022/10/31 23:59,2022/09/07 12:00:00,2022/10/31 23:59:00
2023｜兔兔高升｜貓日曆 - 和貓咪一起天天好心情，享受好運氣！,HANK MAX STUDIO,1847309,1480,https://www.zeczec.com/projects/catflip2023,"你知道兔年（卯年）也是貓咪年嗎？2023 和貓貓一起兔兔高升吧！*ΦωΦ)ノ,zeczec",23 天,2022/09/07 11:50 – 2022/10/11 23:59,2022/09/07 11:50:00,2022/10/11 23:59:00
永恆金庸・無限江湖：【金庸作品集】平裝改版計畫,遠流出版公司,7548086,9490,https://www.zeczec.com/projects/jingyong,"2024年是「金庸百年」，遠流預計推動三年期的【金庸作品集】平裝改版計畫（二版），全套36冊，每年出版12冊。兼具收藏性與創意性的贈品規劃，期盼更多新讀者進入金庸的多重宇宙！,zeczec",29 天,2022/09/07 11:00 – 2022/10/17 23:59,2022/09/07 11:00:00,2022/10/17 23:59:00
【葉添YeTech｜匠人級收納雙刀組】是刀盒也是砧板，刀具 / 砧板 / 收納 / 攜帶 4in1，戶外廚房10秒帶出門！,葉添 YeTech Craft,3819910,3980,https://www.zeczec.com/projects/yetech-2022,"台灣百年製刀品牌「葉添」專為戶外露營打造「攜帶型專業廚刀組」。 結合VG10頂級鋼材雙刀、砧板、磁吸收納設計、透氣提袋為一體，一個包陪你上山下海，10秒即可外帶行動廚房，到哪都能大展廚藝！,zeczec",39 天,2022/09/06 21:00 – 2022/10/27 23:59,2022/09/06 21:00:00,2022/10/27 23:59:00
飲酷杯 Inst. Cool ｜ 拿起就喝、自動關蓋，騎車、日常萬用飲料杯 ,飲酷杯 Inst. Cool,432846,839,https://www.zeczec.com/projects/incoolcup,"放下藏吸管，拿起一秒喝。成為馬路上最快喝到乾淨飲料的人。專利設計、全球唯一單手就能藏吸管的環保杯。,zeczec",73 天,2022/09/06 21:00 – 2022/11/30 23:59,2022/09/06 21:00:00,2022/11/30 23:59:00
【圓形立杯架】個人專屬杯架，辦公室、浴室、書房，杯架+珪藻土杯墊的專利設計,歐士,1138,218,https://www.zeczec.com/projects/oshi_cup_holder,"鋁合金立杯架的簡化版本，輕鬆的入手價格，生活中必需有的好產品。,zeczec",42 天,2022/09/06 15:00 – 2022/10/30 23:59,2022/09/06 15:00:00,2022/10/30 23:59:00
O'miti 極淨小妍 ✦ 潔淨美膚儀 | 世界首創可洗臉、卸妝的導入儀，肌底清潔再淨化！▶️達標解鎖［頭皮按摩配件］限時加贈,lisscode,990160,1980,https://www.zeczec.com/projects/o-miti-all-in-one,"台灣設計製造，專為「全方位女性」量身打造！提供深層、日常、快速的洗卸保養，全面滿足你的肌膚需求，找回極淨透亮裸肌！,zeczec",30 天,2022/09/06 12:00 – 2022/10/19 02:00,2022/09/06 12:00:00,2022/10/19 02:00:00
2023喵兔Q生活萌日曆｜365天不重複可愛動物插畫×每日召喚好心情療癒魔法,有貓貓,433405,1080,https://www.zeczec.com/projects/yomaomao2023calendar,"365天兔兔與喵喵接棒賣萌，每日杯口笑話一撕就有好心情～每個早晨，都被兔兔與喵喵的軟萌給可愛醒！,zeczec",29 天,2022/09/06 11:30 – 2022/10/17 23:59,2022/09/06 11:30:00,2022/10/17 23:59:00
盒裝台北餅乾｜透過餅乾打開你對台北的認識，成為台北的小小導覽員，讓更多人開始注意台北的地方文創！一盒專屬台北的伴手禮誕生了！,聲動台北 Sounds in Taipei,51755,3250,https://www.zeczec.com/projects/taipeiinthebox,"希望帶大家透過不同角度探索台北多元的故事，我們結合Live Podcast活動以及製作了台北造型餅乾伴手禮，期盼大家拿著餅乾的時候都能一起分享自己在台北的故事，同時也是幫助小愉兒自給自足的能力。,zeczec",13 天,2022/09/03 12:00 – 2022/10/02 00:00,2022/09/03 12:00:00,2022/10/02 00:00:00
菜寮百年部落起大廟,鳳天神鼓,7960,200,https://www.zeczec.com/projects/Fengtian,"「小庄頭也能起大廟？」 菜寮，一個座落於臺南佳里區的百年部落… 臺南市鼓樂協會為傳承及推廣偏鄉在地百年部落文化特色，將以鼓樂結合舞蹈及兒童音樂劇呈現歷史故事！,zeczec",42 天,2022/09/02 17:00 – 2022/10/30 23:59,2022/09/02 17:00:00,2022/10/30 23:59:00
小墨曆｜2023 書法水墨學習日曆 feat.學見書房,小墨器 Hsiao Mo Chi,362230,890,https://www.zeczec.com/projects/Hsiao-mo-li,"2023 年，一起來個美字訓練！ 讓你從小學畢業後重新愛上書法的日曆 ,zeczec",52 天,2022/09/01 21:00 – 2022/11/10 02:59,2022/09/01 21:00:00,2022/11/10 02:59:00
揪喜湯包｜把老上海的美味帶回家，8種口味在家輕鬆享用，揪喜爆漿湯包,揪喜工作室,10516,1888,https://www.zeczec.com/projects/juicydumplings,"爆漿上海湯包、薄皮生煎包，在家也能用大同電鍋、平底鍋輕鬆復刻出餐｜8種口味的湯包每天饗用不重複。,zeczec",13 天,2022/09/01 21:00 – 2022/10/01 23:59,2022/09/01 21:00:00,2022/10/01 23:59:00
『Finale2』日本天才發明家小川コータ設計 #人生最後的皮夾,Neo Choice ,308760,2260,https://www.zeczec.com/projects/finale2,"最強皮夾收納術，始終保持『輕薄1CM』。 日本職人製，最高等級牛皮革和防水保護劑。日本集資近900萬的創意設計皮夾，台灣獨家首賣 😉,zeczec",32 天,2022/09/01 20:30 – 2022/10/20 23:59,2022/09/01 20:30:00,2022/10/20 23:59:00
《貓老闆的路邊攤》最有台灣味的策略遊戲，邀請你一起來稱霸夜市！,蔥哥,131910,1170,https://www.zeczec.com/projects/TaiwanNightMarket,"最有台灣味的策略遊戲，邀請你一起來稱霸夜市,zeczec",29 天,2022/09/01 20:00 – 2022/10/17 23:59,2022/09/01 20:00:00,2022/10/17 23:59:00
TOMITA日本職人無刃磨泥器 · 料理不傷手指的溫柔設計｜米其林星級餐廳指定 日本燕三条百年物語之作 ,Single Step,1490900,1080,https://www.zeczec.com/projects/tomita,"安全無刀刃創新磨泥器，手指觸摸也不會被割傷，將食材磨到徹底不浪費，不卡殘渣好清洗。日本金屬工藝之都燕三条百年物語之作，給喜愛料理的人一份溫柔，可使用終身的職人逸品。特別加開「米其林摘星餐廳」指定食器🌟,zeczec",15 天,2022/09/01 12:00 – 2022/10/03 23:59,2022/09/01 12:00:00,2022/10/03 23:59:00
【Byzoom Fitness 收納機能美學 閃耀登場｜PURE WHITE 25kg可調式啞鈴＆站立收納健身椅】讓健身房融入您的居家生活。,Byzoom Fitness,867820,17200,https://www.zeczec.com/projects/byzoomfitness-dumbbell-bench,"15段重量調整、體積更小、時尚配色的可調式啞鈴，搭配站立收納、省力收折腳架、5段高度調整、外型簡約俐落，有別以往傳統設計的健身椅，獻給熱愛健身、追求風格美學的您。,zeczec",22 天,2022/09/01 12:00 – 2022/10/10 23:59,2022/09/01 12:00:00,2022/10/10 23:59:00
［來自秋季的餽贈］秋時暖浴｜浴球盒組 堅持使用歐盟官方有機認證標章&英國土壤協會認證之天然精油,靜時所,1300,690,https://www.zeczec.com/projects/autumn-promise,"我們設計了四款適合秋天的泡澡浴球，配方考量了保濕、放鬆、助眠等多種功效，在精油方面，嚴選使用［英國滴沙蘭德］與［臺灣植物者］這兩個品牌，讓消費者在享受泡澡的同時，也能保證原料的安全與品質。,zeczec",10 天,2022/09/01 12:00 – 2022/09/28 23:59,2022/09/01 12:00:00,2022/09/28 23:59:00
"日本砥部燒, 傳承數百年的工藝, 與您共同點綴生活!",Super Markit,0,1942,https://www.zeczec.com/projects/supermarkit,"砥部燒被日本政府列為無形文化資產, 其獨特的潤白色澤, 自古以來就備受日本人喜愛。獨特的傳統工藝融合現代元素, 帶來的不止是生活的點綴、更是暖心的情懷。,zeczec",27 天,2022/09/01 00:00 – 2022/10/15 23:59,2022/09/01 00:00:00,2022/10/15 23:59:00
日日有影 2023｜生活是電影的本質，電影是生活的淬鍊 ―― 電影日曆陪伴你的 2023 年,釀電影,1851151,980,https://www.zeczec.com/projects/amovieaday,"12 位台灣插畫家，與近百位電影人、影評、作家聯手，讓你的 365 天都有電影相伴。,zeczec",43 天,2022/08/31 21:00 – 2022/10/31 23:59,2022/08/31 21:00:00,2022/10/31 23:59:00
｜rāz multistand｜擴香｜火油燈｜咖啡手沖｜整合三種日常功能的美感風格器物,b.d.h,684380,5100,https://www.zeczec.com/projects/raz-multistand,"擴香、火油燈，與咖啡手沖，一款三式的組合物件，在生活的不同時刻、不同需求中，都能扮演完美稱職的角色。,zeczec",43 天,2022/08/31 21:00 – 2022/10/31 23:59,2022/08/31 21:00:00,2022/10/31 23:59:00
【Formosan Creatures 島嶼精靈 - 動物圖騰擴香】開啟自然香氛旅程,Gdesign,80541,1280,https://www.zeczec.com/projects/formosan-creatures-CarDiffuser,"以四種保育類動物台灣藍鵲、石虎、虎鯨、櫻花鉤吻鮭為主角，融合圖像工藝設計、香氛調製、歌曲創作元素，創作出【島嶼精靈 - 動物圖騰擴香】系列，期待以視、嗅、觸與聽覺體驗記錄美麗的自然生態,zeczec",29 天,2022/08/31 20:00 – 2022/10/18 02:00,2022/08/31 20:00:00,2022/10/18 02:00:00
《用智慧的鑰匙打開每一天》2023 黃金名言日曆｜每日一句人生智慧，開啟生命之光,格林文化,149983,696,https://www.zeczec.com/projects/grimmpress-2,"讓365位真實英雄、365句金句，陪伴您在充滿未知的2023年，找到指引、大步向前，為生命課題找到可能的解答。,zeczec",43 天,2022/08/31 12:05 – 2022/10/31 23:59,2022/08/31 12:05:00,2022/10/31 23:59:00
✶LIGHtogo 車用UVC殺菌燈✶唯一通過光生物安全認證！為您的車內空氣，從【循環源頭】有效滅菌，車內空間全面淨化！,長虹光電,323741,1300,https://www.zeczec.com/projects/lightogo-uvc,"車用UVC殺菌燈強勢來襲， 超懶人神器３步驟輕鬆安裝，隨車內空調出風99%滅毒殺菌，從最根本源頭持續有效循環滅菌！九大特色全面淨化車內空間，司機乘客都安心！,zeczec",12 天,2022/08/31 12:00 – 2022/09/30 23:59,2022/08/31 12:00:00,2022/09/30 23:59:00
【迪賽兒】台灣首款｜『馬油x精華油』肌密科技新配方首次曝光｜享受你的幸福肌密,璽御國際事業有限公司,7900,1990,https://www.zeczec.com/projects/dream_desire,"專屬於你的夢幻憧憬，肌膚永遠會誠實且毫無保留地告訴你，什麼才是適合你的，日常保養用得安心、幸福，是我們期待保養品該有的樣子。,zeczec",28 天,2022/08/31 12:00 – 2022/10/16 23:59,2022/08/31 12:00:00,2022/10/16 23:59:00
以聆聽陪伴無聲吶喊青少年｜2022《心理自聊師》Podcast 募資計畫,金星文創,145400,800,https://www.zeczec.com/projects/podcast2022,"我們青少年自殺死亡率連續 20 年攀升，讓專業心理師主持的 Podcast 節目，用青少年聽得進去的語言，協助更多人理解他們的不快樂，陪他們撐下去。,zeczec",27 天,2022/08/31 11:00 – 2022/10/15 23:59,2022/08/31 11:00:00,2022/10/15 23:59:00
折折盒｜2 種型態，∞ 多可能，一秒切換平面/立體的多用途新經典折盒,ZENLET 禪與徠特,2167295,1320,https://www.zeczec.com/projects/FoldiBox,"一款選用食品級耐熱矽膠，搭配日本抗菌銀離子配方，並採磁吸固定以實現迅速攤平、直覺好清洗的多用途新經典折盒。,zeczec",15 天,2022/08/30 12:00 – 2022/10/04 02:00,2022/08/30 12:00:00,2022/10/04 02:00:00
【二八年華-絕美默娘女神公仔】保庇平安又可愛療癒,默娘姊姊正能量無限大 X INFFINI吾現愛,87326,1080,https://www.zeczec.com/projects/moniangsister768268,"台灣插畫家Love Star創作的【默娘姊姊】角色，不論在LINE貼圖活潑的造型廣受歡迎，各種造型的小媽祖化身可愛Q版公仔，希望帶給大家滿滿正能量!,zeczec",42 天,2022/08/30 12:00 – 2022/10/31 02:00,2022/08/30 12:00:00,2022/10/31 02:00:00
【2022 德國 iDventure 全新益智密室逃脫遊戲盒 】魔法 vs 科學 | 史詩級的對決！挑戰你的大腦極限！,Amodas,661790,3280,https://www.zeczec.com/projects/cluebox-v-s,"我們把實境密室逃脫縮小了，德國iDventure全新設計，在工程力學、謎語巧思及材料運用上的突破，不靠運氣全憑你的邏輯智慧！,zeczec",42 天,2022/08/30 11:32 – 2022/10/31 02:00,2022/08/30 11:32:00,2022/10/31 02:00:00
2023老派的生活日曆&手帳｜是寶島也是時光島！台灣第一本環島日曆,報時光,696295,890,https://www.zeczec.com/projects/oldschoolcalendar2023,"第一本以「環島」及「時代趣味」為概念出版的日曆作品， 讓我們「和時光作朋友，一起來環島」，收藏專屬老派迷的「寶島時光日曆」。,zeczec",11 天,2022/08/30 10:00 – 2022/09/30 10:00,2022/08/30 10:00:00,2022/09/30 10:00:00
Musical World冉天豪音樂劇合唱作品募資計畫,台中室內合唱團,215414,1888,https://www.zeczec.com/projects/musical-world,"由台中室內合唱團攜手合唱、音樂劇跨界才子冉天豪，共同推出台灣第一組音樂劇合唱樂譜，讓台灣音樂劇在華人世界引領風潮，也讓全世界看到台灣音樂藝術文化的實力。,zeczec",22 天,2022/08/29 10:00 – 2022/10/10 22:00,2022/08/29 10:00:00,2022/10/10 22:00:00
Helvetica bold獨創L型短夾｜頂級牛皮打造 × 小巧方便三合一,AZROSSO,9900,3300,https://www.zeczec.com/projects/helvetica-bold-l-x,"型之美 心而製 日本獨創L型錢夾，極小而能裝。匠心工藝，成全一隻有溫度的錢包。,zeczec",9 天,2022/08/27 19:00 – 2022/09/27 23:59,2022/08/27 19:00:00,2022/09/27 23:59:00
香伴 | 香菱最懂你想要的LOVE極致覺醒,香伴,338079,999,https://www.zeczec.com/projects/siangcup,"擁有百萬粉絲的天使臉孔魔鬼身材陳香菱本色出演香伴杯，帶您飛上雲端享受極致高潮猶如香菱伴你在身邊❤,zeczec",24 天,2022/08/25 21:00 – 2022/10/12 23:59,2022/08/25 21:00:00,2022/10/12 23:59:00
Coca-Koala「老宅歌2」動漫不插電專輯募資計畫,瘦瘦,340992,560,https://www.zeczec.com/projects/coca-koala-2,"實力派動漫樂團Coca-Koala，在獨立發行台灣首張日本授權不插電動漫專輯「老宅歌」四年後，即將以更高的製作水準推出「老宅歌2」。將動人的懷舊動漫音樂獻給永遠的少男少女們。,zeczec",43 天,2022/08/25 20:00 – 2022/10/31 23:59,2022/08/25 20:00:00,2022/10/31 23:59:00
【Ardea Alba 白鷺風雨衣】為台灣女性打造，最美的百岳級風雨衣,Fagaceae Taiwan,570951,4400,https://www.zeczec.com/projects/ArdeaAlba-Jacket,"百岳等級機能，加上極簡時尚美學，孕育最美百岳級風雨衣！募資限定價不到5,000元，相較價格通常破萬的戶外大牌，更加務實可負擔；規格與價格，從此不必兩難：）,zeczec",27 天,2022/08/25 12:00 – 2022/10/15 23:59,2022/08/25 12:00:00,2022/10/15 23:59:00
ANAN 智能雙氣墊塑腿科技 | 懶人瘦腿首選 | 很輕 很軟 很好穿 僅僅只是標配 | 一雙顛覆傳統 不可思議的小白鞋,anan385895,574232,980,https://www.zeczec.com/projects/anan," 長庚護士的最愛 │ 每走一步 ⏩ 就在塑腿 │ 瘦腿 防靜脈曲張 久站腳痛 一鞋搞定 !!,zeczec",22 天,2022/08/25 12:00 – 2022/10/11 02:00,2022/08/25 12:00:00,2022/10/11 02:00:00
