projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period
喀。喀。客家青獅月曆,渦窩山塾有限公司,14830,590,https://www.zeczec.com/projects/kekegreenlion,"以清新可愛手繪風的月曆，重新呈現傳統客家青獅的豐富內涵及純樸的樣貌，傳遞一整年的祝福與美好。,zeczec",25 天,2022/11/11 16:00 – 2022/12/11 23:59
【木直牛勿】澐森之巔 再美一年 台灣山月曆,木直牛勿,2195352,950,https://www.zeczec.com/projects/plantpractice2022,"我們是「木直牛勿」，喜歡山林，也喜歡畫畫。​ 希望透過畫筆，將台灣山林之美帶入各位的生活中：）,zeczec",14 天,2022/09/27 11:30 – 2022/12/01 02:00
【LOTUS海洋流動畫瑜珈墊】是瑜珈墊也是藝術品，你的腳下就是一片海洋，讓各種色彩隨著心流創造動態的冥想,LotusFitness,6790,4200,https://www.zeczec.com/projects/flow-art-yoga-mat,"與「Mia的流動藝饗世界」藝術家王育慧Mia共同合作，將具有流動美感的海洋紋理烙印在瑜珈墊上，推出「藝術美感」與「止滑力」兼具的PU天然橡膠瑜珈墊與抑菌仿麂皮瑜珈舖巾。,zeczec",43 天,2022/11/15 12:00 – 2022/12/29 23:59
台灣版絕美的「自然朝聖之路」，要向世界旅人發光｜【 2022 亞洲步道大會，在台灣】募資計畫,社團法人台灣千里步道協會,445565,351,https://www.zeczec.com/projects/ATC-2022,"動輒多天的長距離徒步，其實是一種與內心對話的方式。今年 12 月在台灣舉辦的「亞洲步道大會」，我們計劃向亞洲各國健行愛好者，揭曉台灣「長距離徒步」的絕美秘境。,zeczec",34 天,2022/10/20 00:00 – 2022/12/20 23:59
❝ 𝘿𝙤𝙪𝙗𝙡𝙚 𝘽𝙤𝙭 蒸氣微波保鮮盒 ❞ 保鮮 - 料理 - 上桌，一步到位！,LiFE RiCH 富川創造,11222076,2950,https://www.zeczec.com/projects/double-box,"LiFE RiCH 富川創造全新力作！延續「可微波不鏽鋼」專利結構，結合獨家「蒸氣微波」技術，並升級氣密防漏、防燙隔熱、三款容量設計，讓保鮮、料理、上桌，一步到位！,zeczec",21 天,2022/09/21 12:00 – 2022/12/07 23:59
《歲月靈光｜國家地理2023年攝影日曆》 透過黃框，開啟通往世界的窗口,國家地理,851195,1180,https://www.zeczec.com/projects/ngo-2023-calendar,"國家地理團隊首度推出攝影日曆《歲月靈光》，由創刊至今一百多年的照片中，精選 365 張大師經典，搭配豐富的影音知識內容，在新的一年中，每天與您分享一個精彩故事。,zeczec",14 天,2022/10/26 12:30 – 2022/11/30 23:59
J'DOR 全天然兒童黏土 | 不沾黏、加水即可恢復柔軟、植物精油製作｜孩子聖誕節禮物首選｜幼兒安全無毒黏土｜用食材打造玩具 | ,倍格思有限公司,962394,320,https://www.zeczec.com/projects/jdor,"小孩聖誕節禮物 - 安全無毒兒童黏土 促進小肌肉發展訓練 ｜ 幼兒禮物首選 ｜天然無毒安全黏土！不沾黏、加水即可恢復柔軟！,zeczec",10 天,2022/09/30 21:00 – 2022/11/26 23:59
超簡單種植法！◣ nX20 植物營養液 ◥ 為植栽補充各種 關鍵營養，也有綠手指入門組～,1% nutrition,261670,980,https://www.zeczec.com/projects/nX20-1-percent-nutrition,"3000 名 園藝植栽專家使用經驗，辦公室、陽台、客廳室內植栽「天然萃取 × 新手老手」一起無痛轉職綠手指～,zeczec",27 天,2022/11/08 11:50 – 2022/12/14 02:00
人權辦桌 • 做伙來食飯,人權辦桌,109910,100,https://www.zeczec.com/projects/jin-kuan-pan-toh,"用一頓飯的時間，搭起「無家者」、「政治受難者」及「社會大眾」對話的平台，讓每個人都有權利訴說與被傾聽，也讓「人生而自由且平等」能夠獲得推廣。吃飽飯後才能繼續踏上漫漫人權路。,zeczec",29 天,2022/10/27 20:00 – 2022/12/16 02:00
《新蘇富比葡萄酒百科全書》｜葡萄酒界權威之作，發行 35 年首度推出中文版！,國家地理,2690648,4380,https://www.zeczec.com/projects/The-New-Sothebys-Wine-Encyclopedia,"《蘇富比葡萄酒百科全書》是WSET世界品酒師證照和CMS侍酒師考試的指定讀物，1988年由DK發行首版（480頁），改版後更名為《新蘇富比葡萄酒百科全書》，現在這本是2020年第六版，內容增加到...,zeczec",14 天,2022/09/19 20:00 – 2022/11/30 23:59
Logitech 特獻果粉😍台灣限定注音鍵盤【 Rugged Combo 3｜iPad 鍵盤保護殼 】&【 Crayon｜iPad 數位筆 】&【 KEYS-TO-GO｜輕巧藍牙鍵盤 】,Logitech Taiwan,3913740,1590,https://www.zeczec.com/projects/logitech-edu,"適用於 Apple 系列！耐用、抗摔，好清潔！,zeczec",14 天,2022/08/23 12:00 – 2022/11/30 23:59
BOBOPET波波陪-狗狗的完美居家夥伴,FLYTTA,58620,2880,https://www.zeczec.com/projects/bobopet,"是餵食碗，更是陪伴愛犬促進身心健康的遊戲療癒球。讓愛犬在互動下能玩得開心、放電紓解壓力，與您一起渡過歡樂的時光。,zeczec",9 天,2022/09/27 20:00 – 2022/11/25 23:59
Tent Acme 極.美.秒換面紙盒〖皮革低碳版〗| 瞬間成為美好的存在! ,TaG 創夏設計,355053,1120,https://www.zeczec.com/projects/tent-2-0,"用極致的視覺藝術定義面紙盒，簡約弧線百搭沒有侷限。升級為低碳皮革面料的TentAcme 面紙盒以磁吸3秒更換的超直覺設計達到免組裝，即可秒速裝填與更換面紙。 優美弧度的簡約外型，為你生活提升質感...,zeczec",43 天,2022/11/01 12:00 – 2022/12/30 02:00
【海樂緹 睡眠元年毯被】擁有次世代規格的冬被/四季毯，一次解決被子所有問題,海樂緹 石墨烯,1585317,6580,https://www.zeczec.com/projects/hlt-quilt,"助眠纖維，保健效果，極速調溫，持久涼感，超強保暖，石墨烯嫘縈專利製程，一體成形新技術，無助劑後加工，真正一件抵N件,zeczec",14 天,2022/10/20 20:00 – 2022/11/30 23:59
Allite CF1 多功能車用手機架｜首創 3-in-1 無線充電・磁吸支架・舒心擴香一次到位！ ,Allite ,1564462,1540,https://www.zeczec.com/projects/allite-cf1,"告別傳統手機架！創新結合 MagSafe 技術與擴香功能，打造一次到位的車用配備。CF1 全方位手機架，完美提升駕車體驗！ ,zeczec",21 天,2022/10/25 12:00 – 2022/12/07 12:00
【全力揮擊】原創沉浸式棒球主題桌遊｜朋友聚會、親子時光、球迷競技都適合的經典收藏桌遊,【全力揮擊 ShowTime】,750771,1500,https://www.zeczec.com/projects/showtime,"馬上來場緊張刺激的棒球比賽！在冷氣房中享受在球場上揮汗的樂趣，體驗揮棒打擊的快感。變化多端的攻防事件與靈活的防守布陣，九局下半，等你來一棒炸裂，獲得最終的勝利。,zeczec",11 天,2022/09/29 20:00 – 2022/11/27 23:59
質好日全植物生煎包 ｜ 零膽固醇的肉感美味快速上桌！享受蔬食，不必犧牲美食。,質 好日,2234691,640,https://www.zeczec.com/projects/goodday,"質好日使用全植物成分製作生煎包，首波推出冷凍生煎包，原味/剝皮辣椒/全素/五辛素口味，簡單加熱就能美味上桌！希望透過親民的美食小點，讓大眾體驗植物飲食的美好！,zeczec",14 天,2022/09/22 12:00 – 2022/11/30 23:59
廚佛瑞德Fred｜三秒入魂川味麻辣燒醬｜就是我十年前，在四川一嚐入魂、難忘至今的頂級香氣和麻辣滋味！,廚佛瑞德 Fred,2060783,999,https://www.zeczec.com/projects/FredJam,"重現四川老師傅的手藝，把川菜經典的香、麻、辣徹底發揮。「三秒入魂川味麻辣燒醬」純手工熬煮、加入頂規食材，要把當年震撼我的味覺體驗分享給你。,zeczec", 8 小時,2022/09/22 20:00 – 2022/11/16 23:59
《Color4玩轉卡套》直橫共用 X 雙面感應｜全台最無敵「玩美」的卡套誕生！,100Thinks,1196627,945,https://www.zeczec.com/projects/color4,"台灣獨家專利結構，機能美型，擁有7大超能力的卡套！,zeczec",14 天,2022/10/12 10:00 – 2022/11/30 23:59
《星躍物語Star Leaping Story》台灣一人獨立製作 | 原創衝刺闖關的趣味玩法，一款挑戰你操作極限的遊戲！一起來場星球冒險吧！,ZerovHao,102457,150,https://www.zeczec.com/projects/star-leaping-story,"個人獨立開發PC單機遊戲，從軟體、美術、音樂、劇情設定及過場演出皆由一人製作，深受喜愛的獨立遊戲啟發，希望能製作出帶給大家歡樂與感動的作品！《星躍物語》已完成DEMO版本，歡迎各位試玩！,zeczec",4 天,2022/09/21 12:00 – 2022/11/20 23:59
【台灣製】磁吸式自帶線行動電源10000mAh➤蘋果全系列不卡鏡頭，相容MagSafe，雙向快充，自帶Lightning及Type-C一次滿足！,POLYBATT,442388,1198,https://www.zeczec.com/projects/POLYBATT_CAT,"15W無線充電＋22W有線！四用型充電搞定所有機型！可充1-2次，帶著來自貓的祝福迎接2023年,zeczec",48 天,2022/11/01 20:00 – 2023/01/03 08:00
【屋福箱｜全台唯一主題式寵物零食福袋】讓狗狗一起享受收禮物的驚喜感！今年最澎湃的聖誕禮，獻給最愛的毛小孩！,屋福SHOPWOOFWOOF,30006,798,https://www.zeczec.com/projects/shopwoofwoof-box,"「屋福箱」為狗狗一箱打盡「異國零食、新奇玩具、質感用品」，體驗開箱樂趣，讓您在家就能帶寵物開心過節，吃遍世界美食！,zeczec",14 天,2022/10/24 20:00 – 2022/11/30 23:59
【 xTool D1 Pro 20W 雷雕機 】王者歸來！歡迎來到頂規 20W 二極體雷射新世界⚡,Makeblock,6520180,18980,https://www.zeczec.com/projects/xtool-d1-pro-20w,"✨ 加倍快｜加倍強｜加倍準。硬實力，就是我的超能力！ 熱愛創作的你是否就差一台功率更強、創意不受限的雷雕機呢？,zeczec",21 天,2022/11/03 12:00 – 2022/12/08 02:00
《調香日曆》2023 曆刻聞香｜開啟調香日曆，走進叢林香氣,Xiabenhow下班隨手作,1470727,899,https://www.zeczec.com/projects/thescentcalendar,"365天的調香配方結合日曆，搭配52種精油深入介紹，透過每日調香配方，找到屬於自己的隱形費洛蒙，城市生活的365天，走進山林間的叢林香氣,zeczec", 8 小時,2022/09/28 12:00 – 2022/11/16 23:59
KIMU DUO 融蠟燈｜給關不掉的嗅覺，美好且安心的儀式感日常。,KIMU,1563073,2999,https://www.zeczec.com/projects/kimu-duo,"讓台灣燈具品牌 KIMU 打造比你更挑剔的香氛體驗。讓世界首創雙燈頭，立體你的五感，放大你的第六感。,zeczec",7 天,2022/10/06 11:00 – 2022/11/23 23:59
REO 大馬士革主廚刀｜天然紋路美感盡現！讓你刀刀精準俐落，縱橫天下料理！,Hard Crafts,800629,3090,https://www.zeczec.com/projects/reo,"美國募資破800萬，千人秒殺，超高CP值，完美結合「歐日廚刀工藝」與「兩大頂級鋼材」的職人逸品主廚刀！,zeczec",27 天,2022/10/25 21:00 – 2022/12/14 02:00
『韓國PILMOA長效冰霸杯』同系列保溫杯韓國熱銷超過150萬個 🔥 獲4.6顆星高評價​ ✨,Neo Choice ,307840,1690,https://www.zeczec.com/projects/pilmoa,"１、２公升大容量​，最長保冷48小時，保溫24小時!​ 讓你從早到晚，保持最一開始的溫度！​好的冰霸杯，一個就夠👍 台灣獨家首賣!,zeczec",14 天,2022/09/22 20:30 – 2022/11/30 23:59
職游 x 牌卡 = 運用內在三角形▲ 成為自己的職涯設計師！,職游,812547,4680,https://www.zeczec.com/projects/careercreator,"我們是「職游」，由職涯諮詢師組成的專業團隊，這次推出 3 套職涯探索牌卡與可無限回看的線上課程，希望大家能透過趣味的職涯探索牌卡，在多變的職場環境中，從探索認識自己的「內在 3 角形」開啟職涯規...,zeczec",4 天,2022/09/26 20:00 – 2022/11/21 02:00
【Apartment.b 男子公寓】無重力內著 內著新革命｜無重力般的舒適體驗｜機能・抑菌・舒適,Apartment.b 男子公寓,541209,1499,https://www.zeczec.com/projects/apartmentb-underwear,"無重力內著，給您無重力般的舒適體驗｜使用Tactel Nylon6.6 超細纖維｜美國 Sciessent 銅銀離子 除臭技術｜創造時尚與機能兼具的新時代內著,zeczec",65 天,2022/11/10 11:00 – 2023/01/20 23:59
【Circle By Circle，孩子的教養旅程一步不漏】0-1.5 歲寶貝限定！唯一幫助你突破教養不一致訂閱制教具＋給照顧者的完整指引 ,Circle By Circle 圈圈玩旅,874800,1500,https://www.zeczec.com/projects/circle-by-circle,"◖◖ 不只是教玩具，以醫學、科學為基礎，融合跨學派教育理論; 前樂高 LEGO 設計總監＋五大領域專家共同創作，依月齡精細劃分，陪你輕鬆解鎖寶寶每一個發展里程碑！◗◗,zeczec",14 天,2022/10/19 11:00 – 2022/11/30 23:59
【WondaMop｜免換水淨水拖把組】污水淨化 × 淨水循環 × 細菌濾淨 × 免倒換水 × 極致乾淨 ✨超早鳥優惠🎁優惠限定，抽超值大獎！,富商國際股份有限公司,4124795,1420,https://www.zeczec.com/projects/wondamop,"2000年來拖把的全新革命：讓人""嘖嘖稱奇""的拖把! 拖地居然可以不用換水，2.5公升拖地水...居然可以重覆使用如此清澈！ 『從此拖地免換水』＃超濾淨＃真乾淨,zeczec",26 天,2022/10/25 12:00 – 2022/12/13 02:00
【 that 想想鍋｜超早鳥優惠強勢回歸】超越傳統電鍋的智能電鍋，星級料理隨時上桌！,that,2087950,10900,https://www.zeczec.com/projects/that-ih-pressure-ricepot,"\\ 超早鳥優惠強勢回歸 // that 想想鍋具備 #IH環繞加熱 #類真空鑄鐵鍋蓋 #無油舒肥料理 等黑科技，兼具效率、節能、美學，讓您優雅享用健康美食，為生活增添美好！,zeczec",22 天,2022/10/25 20:30 – 2022/12/09 02:00
懶人曆｜2023 努力到剛好就可以，做個懶人也沒有關係｜嘖嘖Ｘ黃玠 歌詞週曆,懶人曆2023,322427,820,https://www.zeczec.com/projects/HelloLazy,"嘖嘖Ｘ黃玠，一起推出概念性週曆《懶人曆》，懶懶的週曆，適合懶懶的你；週曆搭配音樂人黃玠的生活感療癒歌詞，一起度過軟軟懶懶的2023年。,zeczec",14 天,2022/10/19 20:00 – 2022/12/01 02:00
桌遊 x 立體書 = 夢幻組合！《奇幻樹冒險物語》2022 最歡樂的一場冒險,迷走工作坊,1384887,2349,https://www.zeczec.com/projects/wonderbook,"《奇幻樹冒險物語》是一款原創的奇幻故事冒險遊戲。結合桌遊「豐富的遊戲機制」與立體書「創新的互動玩法」，易學好教十分鐘就能輕鬆上手，從 10 歲到 99 歲都能快速融入刺激的遊戲情境中！,zeczec",41 天,2022/09/20 12:00 – 2022/12/28 02:00
【RYUU 快拆小包】優雅俐落，陪你流轉於都市之間,RYUU,1950281,1580,https://www.zeczec.com/projects/ryuu,"告別翻找，極速、便利、時尚，你唯一需要的隨身小包！,zeczec",5 天,2022/09/20 21:00 – 2022/11/22 02:00
GG褲 海洋系｜來自大海的淬鍊，獨家使用來自大海的SEAWOOL® 海毛紗，兼具舒適/輕薄/快乾/恆溫涼感/永久除臭 功能,URBAN CREW,944920,980,https://www.zeczec.com/projects/GGCOOLSEA,"熱賣超過200萬的【GG褲(森林系)】推出全新海洋系！太空ionic+太空銀纖維 結合 SEAWOOL® 海毛紗，一次擁有 遠紅外線∕涼感舒適∕吸濕排汗∕99% 抗菌防臭∕3D立體囊袋∕防磨腰頭...,zeczec",29 天,2022/11/01 11:30 – 2022/12/15 23:59
2023｜兔兔高升｜貓日曆 - 和貓咪一起天天好心情，享受好運氣！,HANK MAX STUDIO,5186052,1490,https://www.zeczec.com/projects/catflip2023,"你知道兔年（卯年）也是貓咪年嗎？2023 和貓貓一起兔兔高升吧！*ΦωΦ)ノ,zeczec",8 天,2022/09/07 11:50 – 2022/11/24 23:59
GUARDAMPER 尬 顛 簸【 銀刃 】搖式挾持 4D 專業抗震手機架｜精緻工藝 × 便利快取 × 絕對抗震,尢口設計,6755052,2488,https://www.zeczec.com/projects/guardamper,"GUARDAMPER 尬顛簸 【 銀刃 】專利抗震 × 單手快取 × 精巧鋼骨｜台灣設計、製造，最值得你擁有的車用精品。,zeczec",51 天,2022/09/13 12:00 – 2023/01/06 23:59
DOSUN CG135 多功能 eBIKE｜135 公里長效輔助動力，輕巧車身極致騎乘體驗，採買／休閒／冒險，一車滿足百變需求,DOSUN,799020,85000,https://www.zeczec.com/projects/dosuncg135,"台灣腳踏車品牌 DOSUN 最新 eBIKE ，135 公里長效輔助動力，搭配輕巧車身，讓你騎得更遠更輕鬆，一起完成那些曾經的冒險夢想！,zeczec",26 天,2022/10/11 21:00 – 2022/12/12 23:59
【無限筆芯｜TIJ™鈦極鋼珠筆 Extreme】長短可調整、筆芯零微動、換芯免工具、能裝就能用,TIJ鈦極筆,3553554,2930,https://www.zeczec.com/projects/tijrpen,"鈦極系列集大成之作，筆芯和筆尖以獨創技術緊密接觸，達到了最高水準的不抖動書寫感、近乎無限多種筆芯支援，免工具30秒換好各種尺寸筆芯。,zeczec",21 天,2022/10/27 21:00 – 2022/12/08 02:00
SAVING POWER x YOOBAO EN300 輕量級隨身小電站｜電到用時「不」方恨少！,SAVING POWER,314924,8980,https://www.zeczec.com/projects/yoobao-en300,"歐美日儲能電源暢銷品牌 YOOBAO ，全台首發【EN300輕量級隨身小電站】最多同時輸出6台設備； 300W功率 AC 插座及 DC 快充接孔，從緊急應用到休閒生活，隨時在你身邊。,zeczec",16 天,2022/10/03 20:00 – 2022/12/03 02:00
『SATTO～日本魔法設計皮夾』實現終極收納工藝， 全新定義 #極簡皮夾，招財又吸金 ✨,Neo Choice ,1663702,2100,https://www.zeczec.com/projects/satto,"採用日本栃木皮革，以最小尺寸為目標的迷你短夾，無需折疊即可放入和取出鈔票。,zeczec",24 天,2022/10/12 20:30 – 2022/12/10 23:59
"TAKE-COVER 拿蓋子 3｜❤ 鈦心杯❤ ｜99元冰霸杯升級""純鈦保溫杯""",TAKE-COVER TAIWAN,282421,999,https://www.zeczec.com/projects/take-cover3,"鈦心杯放入冰霸杯=超大容量純鈦內膽保溫杯,zeczec",45 天,2022/10/31 20:00 – 2022/12/31 19:59
SPACEFOLD™ 時空折疊育兒包 | 三秒分層，一秒折疊，育兒/商務/休閒一切包辦！,Dauson lab.,2548171,3290,https://www.zeczec.com/projects/spacefold,"無需翻找，輕鬆取得全包物件，空間彈性極大化。防水抗污，透氣減壓，為孩子、父母設計的萬用快取背包,zeczec",6 天,2022/10/07 12:00 – 2022/11/22 23:59
【il modo小長夾】是日製手工真皮小長夾，也是職人的信念,STATUSY TAIWAN x 有設計,1862585,3560,https://www.zeczec.com/projects/ilmodo,"職人嚴選日本姬路高品質真皮皮革，歷經層層工序，將信念與期待融入手作，傾聽使用者的聲音，持續創新設計，盼能為使用者帶來幸福感，同時傳承製革傳統工藝,zeczec",40 天,2022/10/18 10:30 – 2022/12/26 23:59
Withering Calendar 2023 植物凋零曆 ｜凡事都會消逝，凡事也都會再來,yiyuflorist,4333169,980,https://www.zeczec.com/projects/withering-calendar-2023,"一本關於凋零的植物攝影日曆。,zeczec",8 天,2022/09/21 21:00 – 2022/11/25 02:00
